"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL5189005";"";"None";"381.88";"1";"5.93";"5";"COC(=O)c1cccc(CN2c3ccccc3Sc3ccc(Cl)cc32)c1";"EC200";"'='";"2.4";"uM";"";"";"";"UO_0000064";"";"";"";"";"0";"CHEMBL5166183";"Activation of human 20S proteosome assessed as substrate degradation using Suc-LLVY-AMC/Z-LLE-AMC/Boc-LLR-AMC as flurogenic substrate preincubated for 15 mins followed by substrate addition and measured after 1 hr by spectrometric analysis";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5154893";"1";"Scientific Literature";"J Med Chem";"2022";"None";"TIME = 0.25 hr";"ACTIVATOR";"";"2.4"
"CHEMBL5189005";"";"None";"381.88";"1";"5.93";"5";"COC(=O)c1cccc(CN2c3ccccc3Sc3ccc(Cl)cc32)c1";"FC";"'='";"6.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL5166184";"Activation of human 20S proteosome assessed as maximum fold change in substrate degradation using Suc-LLVY-AMC/Z-LLE-AMC/Boc-LLR-AMC as flurogenic substrate preincubated for 15 mins followed by substrate addition and measured after 1 hr by spectrometric analysis relative to control";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5154893";"1";"Scientific Literature";"J Med Chem";"2022";"None";"TIME = 0.25 hr";"ACTIVATOR";"";"6.0"
"CHEMBL5180453";"";"None";"381.88";"1";"5.93";"2";"COC(=O)c1ccc(CN2c3ccccc3Sc3ccc(Cl)cc32)cc1";"EC200";"'='";"2.7";"uM";"";"";"";"UO_0000064";"";"";"";"";"0";"CHEMBL5166185";"Activation of human 20S proteosome at caspase-like site assessed as substrate degradation using Z-LLE-AMC as flurogenic substrate preincubated for 15 mins followed by substrate addition and measured after 1 hr by spectrometric analysis";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5154893";"1";"Scientific Literature";"J Med Chem";"2022";"None";"TIME = 0.25 hr";"ACTIVATOR";"";"2.7"
"CHEMBL5189005";"";"None";"381.88";"1";"5.93";"5";"COC(=O)c1cccc(CN2c3ccccc3Sc3ccc(Cl)cc32)c1";"EC200";"'='";"9.7";"uM";"";"";"";"UO_0000064";"";"";"";"";"0";"CHEMBL5166185";"Activation of human 20S proteosome at caspase-like site assessed as substrate degradation using Z-LLE-AMC as flurogenic substrate preincubated for 15 mins followed by substrate addition and measured after 1 hr by spectrometric analysis";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5154893";"1";"Scientific Literature";"J Med Chem";"2022";"None";"TIME = 0.25 hr";"ACTIVATOR";"";"9.7"
"CHEMBL5192898";"";"None";"492.98";"1";"7.98";"19";"O=C(CCN1c2ccccc2Sc2ccc(Cl)cc21)N(c1ccc(F)cc1)c1ccc(F)cc1";"FC";"'='";"9.4";"";"";"";"";"";"";"";"";"";"0";"CHEMBL5166186";"Activation of human 20S proteosome at caspase-like site assessed as maximum fold change in substrate degradation using Z-LLE-AMC as flurogenic substrate preincubated for 15 mins followed by substrate addition and measured after 1 hr by spectrometric analysis relative to control";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5154893";"1";"Scientific Literature";"J Med Chem";"2022";"None";"TIME = 0.25 hr";"ACTIVATOR";"";"9.4"
"CHEMBL5575120";"";"None";"558.42";"None";"None";"41c";"CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)B(O)O";"IC50";"'='";"87.8";"nM";"7.06";"";"";"UO_0000065";"12.64";"None";"None";"None";"0";"CHEMBL5528522";"Inhibition of 20S proteasome (unknown origin) using Suv-LLVY-AMC as substrate";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5528008";"1";"Scientific Literature";"Eur J Med Chem";"2024";"None";"";"INHIBITOR";"";"87.8"
"CHEMBL5567244";"";"None";"646.57";"None";"None";"42f";"CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)C(C)O)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1";"IC50";"'='";"13.8";"nM";"7.86";"";"";"UO_0000065";"12.16";"None";"None";"None";"0";"CHEMBL5528522";"Inhibition of 20S proteasome (unknown origin) using Suv-LLVY-AMC as substrate";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5528008";"1";"Scientific Literature";"Eur J Med Chem";"2024";"None";"";"INHIBITOR";"";"13.8"
"CHEMBL5193289";"";"None";"368.85";"1";"6.05";"7";"O=[N+]([O-])c1cccc(CN2c3ccccc3Sc3ccc(Cl)cc32)c1";"EC200";"'='";"1.6";"uM";"";"";"";"UO_0000064";"";"";"";"";"0";"CHEMBL5166187";"Activation of human 20S proteosome at trypsin-like site assessed as substrate degradation using Boc-LLR-AMC as flurogenic substrate preincubated for 15 mins followed by substrate addition and measured after 1 hr by spectrometric analysis";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5154893";"1";"Scientific Literature";"J Med Chem";"2022";"None";"TIME = 0.25 hr";"ACTIVATOR";"";"1.6"
"CHEMBL5198457";"";"None";"338.86";"1";"5.73";"9";"Nc1cccc(CN2c3ccccc3Sc3ccc(Cl)cc32)c1";"EC200";"'='";"9.2";"uM";"";"";"";"UO_0000064";"";"";"";"";"0";"CHEMBL5166187";"Activation of human 20S proteosome at trypsin-like site assessed as substrate degradation using Boc-LLR-AMC as flurogenic substrate preincubated for 15 mins followed by substrate addition and measured after 1 hr by spectrometric analysis";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5154893";"1";"Scientific Literature";"J Med Chem";"2022";"None";"TIME = 0.25 hr";"ACTIVATOR";"";"9.2"
"CHEMBL26986";"";"None";"838.06";"3";"5.87";"12";"COc1ccc(CNC(=O)[C@@H](NC(=O)[C@H](NCc2ccc(C(C)C)cc2)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)OCc2ccccc2)C(C)(C)C)C(C)C)c(O)c1";"IC50";"'='";"1600.0";"nM";"5.80";"";"";"UO_0000065";"6.92";"0.13";"-0.07";"3.09";"0";"CHEMBL615352";"Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3831201";"20S proteasome";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1136019";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";"";"1.6"
